version,request,address,name,via,count,before_values,after_values,pcs
2.06,CW0500,0x0E1,RAM_0x0E1,direct,13,0x00 0x07 0x08 0x0C 0x0E 0x0F 0x10 0x11 0x13,0x00 0x07 0x08 0x0C 0x0E 0x0F 0x10 0x11 0x13,0x0418 0x042E
2.06,CW0500,0x0E2,RAM_0x0E2,direct,27,0x00 0x01 0x02 0x04 0x08 0x10 0x20 0x40 0x80,0x00 0x01 0x02 0x04 0x08 0x10 0x20 0x40 0x80,0x041B 0x0448
2.06,CW0500,0x0E3,RAM_0x0E3,direct,15,0x00 0x04 0x08 0x10 0x20 0x28 0x30 0x32 0x34 0x80,0x00 0x04 0x08 0x10 0x20 0x28 0x30 0x32 0x34 0x80,0x0417 0x0438 0x043A
2.06,CW0500,0x0E4,RAM_0x0E4,direct,27,0x00 0x01 0x02 0x03 0x04 0x05 0x06 0x07 0x08,0x00 0x01 0x02 0x03 0x04 0x05 0x06 0x07 0x08,0x041C 0x0449
2.06,CW0600,0x003,STATUS,alu-flag,28,0x00 0x04 0x18 0x1C 0x1D 0x38 0x39,0x00 0x04 0x18 0x19 0x39 0x3C 0x3D,0x0006 0x0008 0x000A 0x000B 0x000D 0x0011 0x0013 0x0029 0x002B 0x002F 0x0031 0x0035 0x0207 0x020E 0x0218 0x021B 0x021F
2.06,CW0600,0x003,STATUS,direct,42,0x00 0x18 0x19 0x38 0x3C 0x3D,0x00 0x18 0x19 0x1C 0x1D 0x38 0x39,0x0006 0x0038 0x0205 0x020A 0x020D 0x0211 0x0213 0x0214 0x0219 0x021A 0x021E 0x1098
2.06,CW0600,0x004,FSR,direct,2,0x8C 0xA8,0x8C 0xA8,0x001E 0x002A
2.06,CW0600,0x007,PORTC,direct,4,0x04 0x24,0x04 0x24,0x020B 0x0212
2.06,CW0600,0x008,PORTD,direct,24,0x00 0x04 0x20 0x24 0x40 0x44 0x60 0x64 0x80 0x84 0xA0 0xA4 0xC0 0xC4 0xE0 0xE4,0x00 0x04 0x20 0x24 0x40 0x44 0x60 0x64 0x80 0x84 0xA0 0xA4 0xC0 0xC4 0xE0 0xE4,0x0215 0x0216 0x0218
2.06,CW0600,0x00A,PCLATH,direct,4,0x00 0x02 0x12,0x00 0x02 0x12,0x000A 0x0036 0x1095 0x1097
