version,source,name,occurrence,section,section_offset,rva,va,size,instruction_count,raw_sha256,normalized_sha256
5.5.00,crtstuff.c,strncpy,0,1,0x000315D0,0x000325D0,0x004325D0,16,3,e29751a01012938293251662ff26dd3743f911d7df96220b92bb6b05c08a854d,850b36cf61f7b7458df1db5fcf7c3cc709b5d06c5a8e21b98d462c1fc71925fa
5.5.00,crtstuff.c,atoi,0,1,0x000315A0,0x000325A0,0x004325A0,16,3,f361d4a23cb1ff26578acb18f7e610ec01a7f0e84efd2bdcefab2f8028590d34,850b36cf61f7b7458df1db5fcf7c3cc709b5d06c5a8e21b98d462c1fc71925fa
5.5.00,crtstuff.c,memcpy,0,1,0x00031570,0x00032570,0x00432570,16,3,c6623e47cbae356ad877a1f3b71ff5db1fe1b9939f017e916bfbfdbf588ac2cd,850b36cf61f7b7458df1db5fcf7c3cc709b5d06c5a8e21b98d462c1fc71925fa
5.5.00,crtstuff.c,memset,0,1,0x00031690,0x00032690,0x00432690,16,3,0203721764469ddb36000647987506b7ff8d3d357378467f9f0c2162d53d83bb,850b36cf61f7b7458df1db5fcf7c3cc709b5d06c5a8e21b98d462c1fc71925fa
5.5.00,crtstuff.c,__getmainargs,0,1,0x00031550,0x00032550,0x00432550,16,3,42e5e4b4f5bdaa3bc2a4bf234138fe8bec320be262a9f7b2122709c02557ee86,850b36cf61f7b7458df1db5fcf7c3cc709b5d06c5a8e21b98d462c1fc71925fa
5.5.00,crtstuff.c,fflush,0,1,0x000316B0,0x000326B0,0x004326B0,16,3,bb6b4fd65e85607448593cfe662ab7f6071790963f1a3b5d22f7838bcc40b916,850b36cf61f7b7458df1db5fcf7c3cc709b5d06c5a8e21b98d462c1fc71925fa
5.5.00,crtstuff.c,fprintf,0,1,0x000316C0,0x000326C0,0x004326C0,1440,270,8dabeeddcb937a9aeb09147c63c66e44a7fc344e6f6edbab01a8a01464a18240,720984283f183ec7c060f5d0ada76e92a5673c0a094d51e9b8bb571934ba1691
5.5.00,crtstuff.c,fopen,0,1,0x00031620,0x00032620,0x00432620,16,3,287bbddda613fafed10df601e595c6ffb9d4c948d109bde204a6c5395cc9909e,850b36cf61f7b7458df1db5fcf7c3cc709b5d06c5a8e21b98d462c1fc71925fa
5.5.00,crtstuff.c,memchr,0,1,0x000316A0,0x000326A0,0x004326A0,16,3,1f9050aa2124419830f3c1be6d790942c67e1b9f1d05dcceb3fd508907a4ac4b,850b36cf61f7b7458df1db5fcf7c3cc709b5d06c5a8e21b98d462c1fc71925fa
5.5.00,crtstuff.c,signal,0,1,0x00031520,0x00032520,0x00432520,16,3,4aa894f595d37711f4f8861820a0001cb70288efca017e547e613bf3de937e7c,850b36cf61f7b7458df1db5fcf7c3cc709b5d06c5a8e21b98d462c1fc71925fa
5.5.00,crtstuff.c,malloc,0,1,0x00031660,0x00032660,0x00432660,16,3,eb0760aafbd4a8232f8211be067c586926cdef5bca627c6f2e18f8e0a9ef9610,850b36cf61f7b7458df1db5fcf7c3cc709b5d06c5a8e21b98d462c1fc71925fa
5.5.00,crtstuff.c,fclose,0,1,0x000315F0,0x000325F0,0x004325F0,16,3,b15a978717a894c23bc6c228bf8361b31011bd76162ae8cf66b1896cd56e909c,850b36cf61f7b7458df1db5fcf7c3cc709b5d06c5a8e21b98d462c1fc71925fa
5.5.00,crtstuff.c,strcpy,0,1,0x00031590,0x00032590,0x00432590,16,3,7079f4e92e6f1199b3da255ae6ba5aef9fed416822e2c7afe4a6b9d9140b9fe2,850b36cf61f7b7458df1db5fcf7c3cc709b5d06c5a8e21b98d462c1fc71925fa
5.5.00,crtstuff.c,sqrt,0,1,0x00031640,0x00032640,0x00432640,16,3,7dc561cbcec115ebc169849c49cf459a7158143c97d8807e18dd9b1796a1ff0d,850b36cf61f7b7458df1db5fcf7c3cc709b5d06c5a8e21b98d462c1fc71925fa
5.5.00,crtstuff.c,abort,0,1,0x00031670,0x00032670,0x00432670,16,3,02fbc68d155d22fa918bea771e6fd733262ef8a6fb6d0d1c3293ac0f26e5a272,850b36cf61f7b7458df1db5fcf7c3cc709b5d06c5a8e21b98d462c1fc71925fa
5.5.00,crtstuff.c,_setmode,0,1,0x00031540,0x00032540,0x00432540,16,3,13fa8f77bcc878212a1c9c8032feec698b8b3f90fa509be9d3a7b99c9f3d3c3b,850b36cf61f7b7458df1db5fcf7c3cc709b5d06c5a8e21b98d462c1fc71925fa
5.5.00,crtstuff.c,atol,0,1,0x00031630,0x00032630,0x00432630,16,3,4bcda7bdaaca93074d6dba97ecdb30fe6c785a5f82cc2af41be3c9c3ef021902,850b36cf61f7b7458df1db5fcf7c3cc709b5d06c5a8e21b98d462c1fc71925fa
5.5.00,crtstuff.c,fgets,0,1,0x00031600,0x00032600,0x00432600,16,3,3dcb79c2af655943aa66508ad8f0c35829ea1a8aba7331bfecd0396140d9cab9,850b36cf61f7b7458df1db5fcf7c3cc709b5d06c5a8e21b98d462c1fc71925fa
5.5.00,crtstuff.c,strlen,0,1,0x00031580,0x00032580,0x00432580,16,3,452f985afea4f05413eaf0c20d19d405fbf6c423bdfdcd8b1ed39501d6e12411,850b36cf61f7b7458df1db5fcf7c3cc709b5d06c5a8e21b98d462c1fc71925fa
5.5.00,crtstuff.c,memmove,0,1,0x00031680,0x00032680,0x00432680,16,3,29b3ad79b01ac894c2611ceeab2dae47143b6d8b742d033dc0b5859aee34b1c4,850b36cf61f7b7458df1db5fcf7c3cc709b5d06c5a8e21b98d462c1fc71925fa
5.5.00,crtstuff.c,exit,0,1,0x00031610,0x00032610,0x00432610,16,3,08544315e7039e9982344a98093f42bc1e387eb3bc6c4bb11a69eeb32d12f034,850b36cf61f7b7458df1db5fcf7c3cc709b5d06c5a8e21b98d462c1fc71925fa
5.5.00,crtstuff.c,strstr,0,1,0x000315E0,0x000325E0,0x004325E0,16,3,7251160f8f0769f2ec1e67906d5d58c22eb3f9faa7088d78daa7cc08d01498be,850b36cf61f7b7458df1db5fcf7c3cc709b5d06c5a8e21b98d462c1fc71925fa
