comparison,source_old,source_new,name,occurrence,status,old_va,new_va,old_size,new_size,old_normalized_sha256,new_normalized_sha256
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,"bixby110control::Bixby110UpdateData(char, unsigned char)",0,changed,0x0040FEE0,0x004117F0,11856,11520,bfec07484b7a3bc4129f1132617ccfc80c4324c3ed5506293a21828ec3f4e622,2d72b296bab1c931f18b4d7cb82f0f1df1facfda3c9ff6f2c207b934ccb9c2c6
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,bixby110control::BixbyProcessHelpRequest(),0,changed,0x0040EDD0,0x00410480,2960,3344,396dbff6271d8bcfd7279bf73e76b8f3c816cb1bc5b7585d000b4a1988d22016,f772127e1f1423e44eabc75c4cc802ce8df46ae0e4cd4b7392ef32fd0d29f2e7
5.0.21_to_5.5.00,,Bixby110dlg.cpp,"bixby110control::BixbyWriteRegister(unsigned char, unsigned char, unsigned char)",0,added,,0x00414790,,64,,455cd8438a95206c38dc6f7d2c8a067eacd32249566b42fc5b60b7bff13b8c70
5.0.21_to_5.5.00,,Bixby110dlg.cpp,"bixby110control::BixbyWriteRegister(unsigned char, unsigned char, unsigned char, unsigned char)",0,added,,0x004144F0,,672,,f9a28835c0f9f2a3c8f6f24e4105c75d911db7c44f18b423e0df849a5555c539
5.0.21_to_5.5.00,,Bixby110dlg.cpp,bixby110control::DataLogLineAssemblePayload(),0,added,,0x00411340,,112,,9773858016ac2cf7c2bb92f8ca92c14aab3e90e9b9bb159effd1543239f4a237
5.0.21_to_5.5.00,,Bixby110dlg.cpp,bixby110control::GenerateReport(char*),0,added,,0x0040F870,,3088,,e56a549c615c1b7cd5d3ff3dc1941b8d6e72c004eca68feee965c8ad36dae4ec
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,bixby110control::GetSelectedAltitude(),0,changed,0x00412D80,0x00414820,96,96,45e67665ff889a2ed2e67081a4440ebe266b4489f65e63921c979794d2345c8a,26ee1b4a821634f866646e5fe6b4820a8997f81a6eba4fb6479ed18f02fb3d97
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,bixby110control::GetSelectedFancurve(),0,changed,0x00412E80,0x00414920,80,80,23882ce4eb15ab2a87775804209a4afb1eefab0a1e83529a54e6b45e17726b62,3000a9653d41304bdaeec8a1fafdec318abd7bd8862f1daff14727df234eeedb
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,bixby110control::GetSelectedFeedwheel(),0,changed,0x00412ED0,0x00414970,80,80,128b5839e6974d6abad14e6f591a71006e222745d6dba9344fb806d307fe79db,2a238c6c0cd5566637fada45f49e587e0943e8af85ae89131975da4ad5823d1d
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,bixby110control::GetSelectedFueltypeA(),0,changed,0x00412DE0,0x00414880,80,80,6284da76fcff483eb1e38dcac9c57ec7c730ec8ca2c1891421b7a3fdf221f26c,19cf11a2bec44d5a05bcda276303a99352374efe60ecac31d467519b0dcdcb54
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,bixby110control::GetSelectedFueltypeB(),0,changed,0x00412E30,0x004148D0,80,80,3df4117bebafd64e3095a5d8e9c23505a5fa8d76b09a66696baf5b1d436173a1,6b6c5f35aa273a2c67ac3dfc927041ed394ab1573a8ebe60672a2e74193e908c
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,bixby110control::GetSelectedModel(),0,changed,0x00412D30,0x004147D0,80,80,41f153a4a4648fb09bf70c3cb2886c0fddcd21f23053629ff9dbc6b7950cf381,89fcb77b2d6ef1f4c6cee7a6d5f4f656a65f3348711be67415816ea1117254fd
5.0.21_to_5.5.00,,Bixby110dlg.cpp,bixby110control::HaveItsMemoryBanksErased(),0,added,,0x00417FB0,,112,,aedec127a74cb0f7d037835407701aaa467fa769147f0385938102a44510ec81
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,bixby110control::LoadReport(char*),0,changed,0x00413800,0x00415440,2304,2304,4447665f5e9772ded11c6aa47d4e44f842f4f3a0f47148e5cb2855cfa2100bc3,45bc8bb31dccf843724c4ea9b1f14b95cb855fce157040fc2a8bbeabd70e0363
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,bixby110control::WriteDataLogDescription(),0,changed,0x0040FC00,0x00411510,736,736,96e8cc2adede915daa7de4b509d715dbaa35da72cfc8273f6954ef6e9bc66d1d,91e5e4356889232177fb061739f9db16e26f9259021c8ceb6a316faa651fe8d6
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,bixby110control::WriteDataLogLine(),0,changed,0x0040FAA0,0x004113B0,352,352,bcbb8aa6f0f0f7aa20d89233cd84ce6b150d4ca184eeea14b012f8670d447679,de5dc3b060d64ea1dd20cac2245c8f58b687cf578aa3465f0c3d95f770c5aec4
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,bixby110control::WriteDataLogTimeDate(),0,changed,0x0040F9E0,0x00411280,192,192,2da9a745ba6f1232eb93ac23b1e31610b5c3fa0bb5773f1ddad1fdf6250b13ea,9d5361a8c63f0f6285e47564f6411ba27684d19768caa4ee0f6cfbadb116170f
5.0.21_to_5.5.00,Bixby110dlg.cpp,Bixby110dlg.cpp,bixby110control::bixby110control(),0,changed,0x00409AD0,0x0040A330,6016,6192,4974f2f9ee21fe6677b3bf847149c7c054ee4022d523fcb5687479c0e2335f89,14d62978bc1dcfa5792f83475e623e6509bfb1ef224ca5608631139a59ed3dbd
