word_address,word,mnemonic,operands,decode_status
0x0124,0x165D,bsf,"0x5D, 4",instruction
0x0125,0x0064,clrwdt,,instruction
0x0126,0x1AD2,btfsc,"0x52, 5",instruction
0x0127,0x292A,goto,0x12A,instruction
0x0128,0x1E52,btfss,"0x52, 4",instruction
0x0129,0x292B,goto,0x12B,instruction
0x012A,0x01D2,clrf,0x52,instruction
0x012B,0x118A,bcf,"0x0A, 3",instruction
0x012C,0x120A,bcf,"0x0A, 4",instruction
0x012D,0x2960,goto,0x160,instruction
0x012E,0x0064,clrwdt,,instruction
0x012F,0x1E52,btfss,"0x52, 4",instruction
0x0130,0x2934,goto,0x134,instruction
0x0131,0x1252,bcf,"0x52, 4",instruction
0x0132,0x16D2,bsf,"0x52, 5",instruction
0x0133,0x2948,goto,0x148,instruction
0x0134,0x3004,movlw,0x04,instruction
0x0135,0x0088,movwf,0x08,instruction
0x0136,0x1052,bcf,"0x52, 0",instruction
0x0137,0x1D88,btfss,"0x08, 3",instruction
0x0138,0x1452,bsf,"0x52, 0",instruction
0x0139,0x3024,movlw,0x24,instruction
0x013A,0x0088,movwf,0x08,instruction
0x013B,0x10D2,bcf,"0x52, 1",instruction
0x013C,0x1D88,btfss,"0x08, 3",instruction
0x013D,0x14D2,bsf,"0x52, 1",instruction
0x013E,0x3044,movlw,0x44,instruction
0x013F,0x0088,movwf,0x08,instruction
0x0140,0x1152,bcf,"0x52, 2",instruction
0x0141,0x1D88,btfss,"0x08, 3",instruction
0x0142,0x1552,bsf,"0x52, 2",instruction
0x0143,0x3064,movlw,0x64,instruction
0x0144,0x0088,movwf,0x08,instruction
0x0145,0x11D2,bcf,"0x52, 3",instruction
0x0146,0x1D88,btfss,"0x08, 3",instruction
0x0147,0x15D2,bsf,"0x52, 3",instruction
0x0148,0x1DD1,btfss,"0x51, 3",instruction
0x0149,0x294D,goto,0x14D,instruction
0x014A,0x0852,movf,"0x52, W",instruction
0x014B,0x04D3,iorwf,"0x53, F",instruction
0x014C,0x2960,goto,0x160,instruction
0x014D,0x0853,movf,"0x53, W",instruction
0x014E,0x0252,subwf,"0x52, W",instruction
0x014F,0x1D03,btfss,"0x03, 2",instruction
0x0150,0x2953,goto,0x153,instruction
0x0151,0x0AD4,incf,"0x54, F",instruction
0x0152,0x2957,goto,0x157,instruction
0x0153,0x01D4,clrf,0x54,instruction
0x0154,0x01D5,clrf,0x55,instruction
0x0155,0x0852,movf,"0x52, W",instruction
0x0156,0x00D3,movwf,0x53,instruction
0x0157,0x1ED2,btfss,"0x52, 5",instruction
0x0158,0x295B,goto,0x15B,instruction
0x0159,0x30FC,movlw,0xFC,instruction
0x015A,0x00D4,movwf,0x54,instruction
0x015B,0x0854,movf,"0x54, W",instruction
0x015C,0x39FC,andlw,0xFC,instruction
0x015D,0x1903,btfsc,"0x03, 2",instruction
0x015E,0x2960,goto,0x160,instruction
0x015F,0x28EB,goto,0x0EB,instruction
0x0160,0x118A,bcf,"0x0A, 3",instruction
0x0161,0x120A,bcf,"0x0A, 4",instruction
0x0162,0x2964,goto,0x164,instruction
0x0163,0x292E,goto,0x12E,instruction
0x0164,0x01B2,clrf,0x32,instruction
0x0165,0x01B1,clrf,0x31,instruction
0x0166,0x17CC,bsf,"0x4C, 7",instruction
0x0167,0x0872,movf,"0x72, W",instruction
0x0168,0x0473,iorwf,"0x73, W",instruction
0x0169,0x1903,btfsc,"0x03, 2",instruction
0x016A,0x296F,goto,0x16F,instruction
0x016B,0x0872,movf,"0x72, W",instruction
0x016C,0x1903,btfsc,"0x03, 2",instruction
0x016D,0x03F3,decf,"0x73, F",instruction
0x016E,0x03F2,decf,"0x72, F",instruction
0x016F,0x3002,movlw,0x02,instruction
0x0170,0x06B0,xorwf,"0x30, F",instruction
0x0171,0x1C86,btfss,"0x06, 1",instruction
0x0172,0x2976,goto,0x176,instruction
0x0173,0x0AC6,incf,"0x46, F",instruction
0x0174,0x1903,btfsc,"0x03, 2",instruction
0x0175,0x0AC7,incf,"0x47, F",instruction
0x0176,0x0191,clrf,0x11,instruction
0x0177,0x108C,bcf,"0x0C, 1",instruction
0x0178,0x0AB5,incf,"0x35, F",instruction
0x0179,0x1EB5,btfss,"0x35, 5",instruction
0x017A,0x2983,goto,0x183,instruction
0x017B,0x3082,movlw,0x82,instruction
0x017C,0x00B5,movwf,0x35,instruction
0x017D,0x0801,movf,"0x01, W",instruction
0x017E,0x190B,btfsc,"0x0B, 2",instruction
0x017F,0x30FF,movlw,0xFF,instruction
0x0180,0x00B4,movwf,0x34,instruction
0x0181,0x0181,clrf,0x01,instruction
0x0182,0x110B,bcf,"0x0B, 2",instruction
0x0183,0x1186,bcf,"0x06, 3",instruction
0x0184,0x3000,movlw,0x00,instruction
0x0185,0x18B0,btfsc,"0x30, 1",instruction
0x0186,0x3001,movlw,0x01,instruction
0x0187,0x3901,andlw,0x01,instruction
0x0188,0x1903,btfsc,"0x03, 2",instruction
0x0189,0x29A2,goto,0x1A2,instruction
0x018A,0x0829,movf,"0x29, W",instruction
0x018B,0x07AA,addwf,"0x2A, F",instruction
0x018C,0x082A,movf,"0x2A, W",instruction
0x018D,0x3C63,sublw,0x63,instruction
0x018E,0x1803,btfsc,"0x03, 0",instruction
0x018F,0x2999,goto,0x199,instruction
0x0190,0x3064,movlw,0x64,instruction
0x0191,0x02AA,subwf,"0x2A, F",instruction
0x0192,0x15D6,bsf,"0x56, 3",instruction
0x0193,0x1687,bsf,"0x07, 5",instruction
0x0194,0x3060,movlw,0x60,instruction
0x0195,0x0088,movwf,0x08,instruction
0x0196,0x1508,bsf,"0x08, 2",instruction
0x0197,0x12D1,bcf,"0x51, 5",instruction
0x0198,0x29A1,goto,0x1A1,instruction
0x0199,0x1ED1,btfss,"0x51, 5",instruction
0x019A,0x29A1,goto,0x1A1,instruction
0x019B,0x11D6,bcf,"0x56, 3",instruction
0x019C,0x1287,bcf,"0x07, 5",instruction
0x019D,0x3060,movlw,0x60,instruction
0x019E,0x0088,movwf,0x08,instruction
0x019F,0x1508,bsf,"0x08, 2",instruction
0x01A0,0x12D1,bcf,"0x51, 5",instruction
0x01A1,0x29A3,goto,0x1A3,instruction
0x01A2,0x16D1,bsf,"0x51, 5",instruction
0x01A3,0x108B,bcf,"0x0B, 1",instruction
0x01A4,0x118A,bcf,"0x0A, 3",instruction
0x01A5,0x120A,bcf,"0x0A, 4",instruction
0x01A6,0x2829,goto,0x029,instruction
0x01A7,0x0FB1,incfsz,"0x31, F",instruction
0x01A8,0x29AB,goto,0x1AB,instruction
0x01A9,0x0F32,incfsz,"0x32, W",instruction
0x01AA,0x00B2,movwf,0x32,instruction
0x01AB,0x1FCC,btfss,"0x4C, 7",instruction
0x01AC,0x29B1,goto,0x1B1,instruction
0x01AD,0x13CC,bcf,"0x4C, 7",instruction
